,Column,Occurrences of -,Percentage of -,Occurrences of x,Percentage of x,Occurrences of .,Percentage of .,Occurrences of ...,Percentage of ...,Occurrences of ..,Percentage of ..
0,1. Quartal Unternehmen Anzahl,412,21.46,68,3.54,75,3.91,0,0.0,0,0.0
1,1. Quartal Beförderte Personen 1000,412,21.46,65,3.39,75,3.91,1,0.05,0,0.0
2,1. Quartal Personenkilometer 1000,407,21.2,68,3.54,75,3.91,1,0.05,0,0.0
3,2. Quartal Unternehmen Anzahl,412,21.46,70,3.65,75,3.91,0,0.0,0,0.0
4,2. Quartal Beförderte Personen 1000,414,21.56,64,3.33,75,3.91,1,0.05,0,0.0
5,2. Quartal Personenkilometer 1000,408,21.25,68,3.54,75,3.91,1,0.05,0,0.0
6,3. Quartal Unternehmen Anzahl,388,20.21,57,2.97,75,3.91,96,5.0,0,0.0
7,3. Quartal Beförderte Personen 1000,384,20.0,56,2.92,75,3.91,97,5.05,0,0.0
8,3. Quartal Personenkilometer 1000,382,19.9,57,2.97,75,3.91,97,5.05,0,0.0
9,4. Quartal Unternehmen Anzahl,380,19.79,59,3.07,75,3.91,96,5.0,0,0.0
10,4. Quartal Beförderte Personen 1000,380,19.79,55,2.86,75,3.91,96,5.0,0,0.0
11,4. Quartal Personenkilometer 1000,375,19.53,59,3.07,75,3.91,96,5.0,0,0.0
