,,
,,
,Einwohnerzahl in Thüringen bis 2022,
,Einwohnerzahl in Thüringen von 1961 bis 2022,
,,
,2022,2.126.846
,2021,2.108.863
,2020,2.120.237
,2019,2.133.378
,2018,2.143.145
,2017,2.151.205
,2016,2.158.128
,2015,2.170.714
,2014,2.156.759
,2013,2.160.840
,2012,2.170.460
,2011,2.181.603
,2010,2.235.025
,2009,2.250
,2008,2.268
,2007,2.289
,2006,2.311
,2005,2.334.575
,2004,2.355
,2003,2.373
,2002,2.392
,2001,2.411
,2000,2.431.255
,1999,2.449
,1998,2.463
,1997,2.478
,1996,2.491
,1995,2.503.785
,1994,2.518
,1993,2.533
,1992,2.546
,1991,2.572
,1990,2.611.319
,1985,2.722.000
,1980,2.730.000
,1970,2.759.000
,1961,2.725.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
