,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Hamburg bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Hamburg von 1991 bis 2022,,
,,,
,2022,58441,in €
,2021,55475,in €
,2020,53550,in €
,2019,53444,in €
,2018,51511,in €
,2017,50120,in €
,2016,49179,in €
,2015,48040,in €
,2014,46788,in €
,2013,45637,in €
,2012,44429,in €
,2011,43228,in €
,2010,42179,in €
,2009,41734,in €
,2008,41260,in €
,2007,40471,in €
,2006,40074,in €
,2005,39587,in €
,2004,39190,in €
,2003,39076,in €
,2002,38580,in €
,2001,38141,in €
,2000,37330,in €
,1999,36823,in €
,1998,36628,in €
,1997,36242,in €
,1996,35907,in €
,1995,35489,in €
,1994,34604,in €
,1993,33792,in €
,1992,32877,in €
,1991,30789,in €
