,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Baden-Württemberg bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Baden-Württemberg von 1991 bis 2022,,
,,,
,2022,51154,in €
,2021,49767,in €
,2020,48209,in €
,2019,48652,in €
,2018,47213,in €
,2017,46099,in €
,2016,44841,in €
,2015,43863,in €
,2014,42659,in €
,2013,41705,in €
,2012,40837,in €
,2011,39677,in €
,2010,38419,in €
,2009,37160,in €
,2008,37546,in €
,2007,36861,in €
,2006,36422,in €
,2005,35719,in €
,2004,35503,in €
,2003,35386,in €
,2002,34618,in €
,2001,34164,in €
,2000,33439,in €
,1999,32744,in €
,1998,32153,in €
,1997,31805,in €
,1996,31647,in €
,1995,31462,in €
,1994,30400,in €
,1993,29591,in €
,1992,29158,in €
,1991,27383,in €
