,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Bayern bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Bayern von 1991 bis 2022,,
,,,
,2022,51716,in €
,2021,49606,in €
,2020,48082,in €
,2019,48104,in €
,2018,46472,in €
,2017,45434,in €
,2016,44249,in €
,2015,43192,in €
,2014,42027,in €
,2013,40849,in €
,2012,40050,in €
,2011,38964,in €
,2010,37856,in €
,2009,36782,in €
,2008,36935,in €
,2007,35996,in €
,2006,35405,in €
,2005,34943,in €
,2004,34805,in €
,2003,34532,in €
,2002,33932,in €
,2001,33483,in €
,2000,32793,in €
,1999,32076,in €
,1998,31647,in €
,1997,31285,in €
,1996,31027,in €
,1995,30660,in €
,1994,29708,in €
,1993,28918,in €
,1992,28047,in €
,1991,26060,in €
