,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Berlin bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Berlin von 1991 bis 2022,,
,,,
,2022,53604,in €
,2021,50628,in €
,2020,48089,in €
,2019,46827,in €
,2018,44722,in €
,2017,43199,in €
,2016,41604,in €
,2015,40532,in €
,2014,39114,in €
,2013,37942,in €
,2012,37475,in €
,2011,37045,in €
,2010,35822,in €
,2009,34922,in €
,2008,34520,in €
,2007,33913,in €
,2006,33785,in €
,2005,33872,in €
,2004,33845,in €
,2003,33787,in €
,2002,33440,in €
,2001,33046,in €
,2000,32594,in €
,1999,32404,in €
,1998,32215,in €
,1997,31635,in €
,1996,31383,in €
,1995,30890,in €
,1994,29821,in €
,1993,28677,in €
,1992,26731,in €
,1991,23939,in €
