,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Brandenburg bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Brandenburg von 1991 bis 2022,,
,,,
,2022,42520,in €
,2021,40239,in €
,2020,38966,in €
,2019,38194,in €
,2018,36786,in €
,2017,35653,in €
,2016,34605,in €
,2015,33768,in €
,2014,32337,in €
,2013,31373,in €
,2012,30534,in €
,2011,30001,in €
,2010,29007,in €
,2009,28311,in €
,2008,27969,in €
,2007,27342,in €
,2006,26962,in €
,2005,26716,in €
,2004,26400,in €
,2003,26319,in €
,2002,26069,in €
,2001,25646,in €
,2000,25030,in €
,1999,24612,in €
,1998,24095,in €
,1997,23832,in €
,1996,23667,in €
,1995,23177,in €
,1994,21913,in €
,1993,20463,in €
,1992,17697,in €
,1991,13578,in €
