,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Bremen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Bremen von 1991 bis 2022,,
,,,
,2022,49132,in €
,2021,47331,in €
,2020,46205,in €
,2019,46430,in €
,2018,45261,in €
,2017,44411,in €
,2016,43208,in €
,2015,42039,in €
,2014,41040,in €
,2013,40142,in €
,2012,38902,in €
,2011,38165,in €
,2010,37132,in €
,2009,36366,in €
,2008,36084,in €
,2007,35163,in €
,2006,34970,in €
,2005,34469,in €
,2004,33976,in €
,2003,33887,in €
,2002,32888,in €
,2001,32763,in €
,2000,32055,in €
,1999,32248,in €
,1998,31797,in €
,1997,31314,in €
,1996,31451,in €
,1995,31169,in €
,1994,30088,in €
,1993,29477,in €
,1992,28675,in €
,1991,27267,in €
