,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Hessen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Hessen von 1991 bis 2022,,
,,,
,2022,53946,in €
,2021,51821,in €
,2020,50264,in €
,2019,50292,in €
,2018,48755,in €
,2017,47438,in €
,2016,46347,in €
,2015,45478,in €
,2014,44485,in €
,2013,43400,in €
,2012,42660,in €
,2011,41890,in €
,2010,40778,in €
,2009,40073,in €
,2008,40219,in €
,2007,39051,in €
,2006,38342,in €
,2005,37651,in €
,2004,37476,in €
,2003,37470,in €
,2002,36525,in €
,2001,35931,in €
,2000,35171,in €
,1999,34417,in €
,1998,34003,in €
,1997,33591,in €
,1996,33456,in €
,1995,33200,in €
,1994,32071,in €
,1993,31305,in €
,1992,30379,in €
,1991,28340,in €
