,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Mecklenburg-Vorpommern bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Mecklenburg-Vorpommern von 1991 bis 2022,,
,,,
,2022,41123,in €
,2021,38754,in €
,2020,37594,in €
,2019,36865,in €
,2018,35339,in €
,2017,34103,in €
,2016,33214,in €
,2015,32170,in €
,2014,30795,in €
,2013,29865,in €
,2012,29387,in €
,2011,28402,in €
,2010,27347,in €
,2009,26612,in €
,2008,26047,in €
,2007,25482,in €
,2006,25163,in €
,2005,25132,in €
,2004,24922,in €
,2003,24810,in €
,2002,24335,in €
,2001,23905,in €
,2000,23375,in €
,1999,23089,in €
,1998,22672,in €
,1997,22437,in €
,1996,22251,in €
,1995,21810,in €
,1994,20665,in €
,1993,19241,in €
,1992,16765,in €
,1991,13094,in €
