,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Niedersachsen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Niedersachsen von 1991 bis 2022,,
,,,
,2022,44349,in €
,2021,42947,in €
,2020,41986,in €
,2019,41782,in €
,2018,40398,in €
,2017,39036,in €
,2016,38166,in €
,2015,37393,in €
,2014,36427,in €
,2013,35339,in €
,2012,34616,in €
,2011,33761,in €
,2010,32775,in €
,2009,31974,in €
,2008,31595,in €
,2007,31084,in €
,2006,31028,in €
,2005,30392,in €
,2004,30559,in €
,2003,30657,in €
,2002,30099,in €
,2001,29924,in €
,2000,29476,in €
,1999,29141,in €
,1998,28980,in €
,1997,28664,in €
,1996,28498,in €
,1995,28270,in €
,1994,27503,in €
,1993,27143,in €
,1992,26565,in €
,1991,24937,in €
