,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Nordrhein-Westfalen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Nordrhein-Westfalen von 1991 bis 2022,,
,,,
,2022,47765,in €
,2021,45980,in €
,2020,44734,in €
,2019,44532,in €
,2018,43170,in €
,2017,41833,in €
,2016,40889,in €
,2015,40083,in €
,2014,39244,in €
,2013,37977,in €
,2012,37579,in €
,2011,36556,in €
,2010,35563,in €
,2009,34754,in €
,2008,34489,in €
,2007,33709,in €
,2006,33557,in €
,2005,33542,in €
,2004,33474,in €
,2003,33391,in €
,2002,33015,in €
,2001,32677,in €
,2000,32253,in €
,1999,32024,in €
,1998,31892,in €
,1997,31787,in €
,1996,31685,in €
,1995,31452,in €
,1994,30476,in €
,1993,29764,in €
,1992,29024,in €
,1991,27278,in €
