,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Rheinland-Pfalz bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Rheinland-Pfalz von 1991 bis 2022,,
,,,
,2022,45338,in €
,2021,43291,in €
,2020,42145,in €
,2019,41792,in €
,2018,40502,in €
,2017,39444,in €
,2016,38575,in €
,2015,37826,in €
,2014,36935,in €
,2013,36089,in €
,2012,35012,in €
,2011,34204,in €
,2010,33502,in €
,2009,32865,in €
,2008,32463,in €
,2007,31959,in €
,2006,31773,in €
,2005,31473,in €
,2004,31582,in €
,2003,31671,in €
,2002,31135,in €
,2001,31029,in €
,2000,30654,in €
,1999,30200,in €
,1998,30116,in €
,1997,29927,in €
,1996,29812,in €
,1995,29662,in €
,1994,28849,in €
,1993,28091,in €
,1992,27487,in €
,1991,25622,in €
