,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer im Saarland bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer im Saarland von 1991 bis 2022,,
,,,
,2022,43891,in €
,2021,42252,in €
,2020,41156,in €
,2019,41337,in €
,2018,40394,in €
,2017,39184,in €
,2016,38351,in €
,2015,37656,in €
,2014,36988,in €
,2013,36329,in €
,2012,35412,in €
,2011,34926,in €
,2010,33977,in €
,2009,32729,in €
,2008,33004,in €
,2007,33047,in €
,2006,32702,in €
,2005,32413,in €
,2004,32442,in €
,2003,32049,in €
,2002,31521,in €
,2001,31785,in €
,2000,30771,in €
,1999,30289,in €
,1998,30196,in €
,1997,30004,in €
,1996,29890,in €
,1995,29706,in €
,1994,29035,in €
,1993,28379,in €
,1992,27791,in €
,1991,26160,in €
