,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Sachsen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Sachsen von 1991 bis 2022,,
,,,
,2022,42577,in €
,2021,40347,in €
,2020,39113,in €
,2019,38470,in €
,2018,36874,in €
,2017,35682,in €
,2016,34683,in €
,2015,33632,in €
,2014,32108,in €
,2013,31140,in €
,2012,30398,in €
,2011,29581,in €
,2010,28670,in €
,2009,27792,in €
,2008,27363,in €
,2007,26547,in €
,2006,26159,in €
,2005,25826,in €
,2004,25768,in €
,2003,25504,in €
,2002,24977,in €
,2001,24655,in €
,2000,24118,in €
,1999,23735,in €
,1998,23294,in €
,1997,23090,in €
,1996,22919,in €
,1995,22502,in €
,1994,21149,in €
,1993,19744,in €
,1992,17135,in €
,1991,13242,in €
