,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Sachsen-Anhalt bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Sachsen-Anhalt von 1991 bis 2022,,
,,,
,2022,41384,in €
,2021,39163,in €
,2020,37893,in €
,2019,37049,in €
,2018,35785,in €
,2017,34622,in €
,2016,33549,in €
,2015,32605,in €
,2014,31385,in €
,2013,30227,in €
,2012,29697,in €
,2011,28665,in €
,2010,27736,in €
,2009,26904,in €
,2008,26198,in €
,2007,25397,in €
,2006,25262,in €
,2005,25065,in €
,2004,24883,in €
,2003,24634,in €
,2002,24264,in €
,2001,23808,in €
,2000,23335,in €
,1999,23262,in €
,1998,22811,in €
,1997,22644,in €
,1996,22446,in €
,1995,21977,in €
,1994,20731,in €
,1993,19274,in €
,1992,16657,in €
,1991,12912,in €
