,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Schleswig-Holstein bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Schleswig-Holstein von 1991 bis 2022,,
,,,
,2022,42903,in €
,2021,40926,in €
,2020,39814,in €
,2019,39278,in €
,2018,37964,in €
,2017,36669,in €
,2016,35754,in €
,2015,34994,in €
,2014,34182,in €
,2013,33534,in €
,2012,32924,in €
,2011,32170,in €
,2010,31440,in €
,2009,30842,in €
,2008,30607,in €
,2007,30160,in €
,2006,29830,in €
,2005,29909,in €
,2004,29928,in €
,2003,30102,in €
,2002,29677,in €
,2001,29275,in €
,2000,28835,in €
,1999,28470,in €
,1998,28240,in €
,1997,28223,in €
,1996,28074,in €
,1995,27804,in €
,1994,26944,in €
,1993,26086,in €
,1992,25400,in €
,1991,23795,in €
