,,,
,,,
,Arbeitnehmerentgelt je Arbeitnehmer in Thüringen bis 2022,,
,Arbeitnehmerentgelt je Arbeitnehmer in Thüringen von 1991 bis 2022,,
,,,
,2022,41418,in €
,2021,38991,in €
,2020,37666,in €
,2019,37249,in €
,2018,36005,in €
,2017,34943,in €
,2016,33778,in €
,2015,32866,in €
,2014,31660,in €
,2013,30534,in €
,2012,29701,in €
,2011,28706,in €
,2010,27852,in €
,2009,27112,in €
,2008,26824,in €
,2007,26103,in €
,2006,25805,in €
,2005,25493,in €
,2004,25349,in €
,2003,25143,in €
,2002,24505,in €
,2001,23948,in €
,2000,23313,in €
,1999,22899,in €
,1998,22310,in €
,1997,22105,in €
,1996,21841,in €
,1995,21331,in €
,1994,20187,in €
,1993,18934,in €
,1992,16560,in €
,1991,12881,in €
