,,,
,,,
,Arbeitnehmerentgelte je Arbeitnehmer in Deutschland bis 2022,,
,Arbeitnehmerentgelte je Arbeitnehmer in Deutschland von 1991 bis 2022,,
,,,
,2022,48613,in €
,2021,46651,in €
,2020,45248,in €
,2019,45073,in €
,2018,43583,in €
,2017,42351,in €
,2016,41270,in €
,2015,40343,in €
,2014,39250,in €
,2013,38150,in €
,2012,37430,in €
,2011,36465,in €
,2010,35409,in €
,2009,34520,in €
,2008,34399,in €
,2007,33636,in €
,2006,33298,in €
,2005,32945,in €
,2004,32828,in €
,2003,32724,in €
,2002,32161,in €
,2001,31770,in €
,2000,31157,in €
,1999,30661,in €
,1998,30316,in €
,1997,30029,in €
,1996,29843,in €
,1995,29534,in €
,1994,28556,in €
,1993,27749,in €
,1992,26658,in €
,1991,24172,in €
