,,
,,
,Einwohnerzahl in Baden-Württemberg bis 2022,
,Einwohnerzahl in Baden-Württemberg von 1960 bis 2022,
,,
,2022,11.280.257
,2021,11.124.642
,2020,11.103.043
,2019,11.100.394
,2018,11.069.533
,2017,11.023.425
,2016,10.951.893
,2015,10.879.618
,2014,10.716.644
,2013,10.631.278
,2012,10.569.111
,2011,10.512.441
,2010,10.753.880
,2009,10.744.921
,2008,10.749.506
,2007,10.749.755
,2006,10.738.753
,2005,10.735.701
,2004,10.717.419
,2003,10.692.556
,2002,10.661.320
,2001,10.600.906
,2000,10.524.415
,1999,10.475.932
,1998,10.426.040
,1997,10.396.610
,1996,10.374.505
,1995,10.319.367
,1994,10.272.069
,1993,10.234.026
,1992,10.148.708
,1991,10.001.840
,1990,9.821.847
,1989,9.618.696
,1988,9.432.709
,1987,9.330.488
,1986,9.326.780
,1985,9.271.370
,1984,9.241.083
,1983,9.243.301
,1982,9.270.608
,1981,9.287.921
,1980,9.258.947
,1979,9.190.052
,1978,9.137.790
,1977,9.120.453
,1976,9.119.266
,1975,9.152.748
,1974,9.226.240
,1973,9.239.376
,1972,9.154.152
,1971,9.055.114
,1970,8.953.607
,1969,8.909.699
,1968,8.713.893
,1967,8.565.471
,1966,8.534.106
,1965,8.426.202
,1964,8.257.397
,1963,8.108.335
,1962,7.990.638
,1961,7.838.682
,1960,7.726.859
,1959,7.560.698
,1958,7.433.007
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
