,,
,,
,Einwohnerzahl in Berlin bis 2022,
,Einwohnerzahl in Berlin von 1960 bis 2022,
,,
,2022,3.755.251
,2021,3.677.472
,2020,3.664.088
,2019,3.669.491
,2018,3.644.826
,2017,3.613.495
,2016,3.574.830
,2015,3.520.031
,2014,3.469.849
,2013,3.421.829
,2012,3.375.222
,2011,3.326.002
,2010,3.460.725
,2009,3.442.675
,2008,3.431.675
,2007,3.416.255
,2006,3.404.037
,2005,3.395.189
,2004,3.387.828
,2003,3.388.477
,2002,3.392.425
,2001,3.388.434
,2000,3.382.169
,1999,3.386.667
,1998,3.398.822
,1997,3.425.759
,1996,3.458.763
,1995,3.471.418
,1994,3.472.009
,1993,3.475.392
,1992,3.465.748
,1991,3.446.031
,1990,3.433.695
,1989,2.130.525
,1988,2.068.313
,1987,2.028.716
,1986,1.879.225
,1985,1.860.084
,1984,1.848.585
,1983,1.854.502
,1982,1.869.584
,1981,1.888.669
,1980,1.896.230
,1979,1.902.250
,1978,1.909.706
,1977,1.926.826
,1976,1.950.706
,1975,1.984.837
,1974,2.023.987
,1973,2.047.948
,1972,2.062.615
,1971,2.083.998
,1970,2.115.311
,1969,2.134.256
,1968,2.141.441
,1967,2.163.306
,1966,2.185.403
,1965,2.197.262
,1964,2.200.228
,1963,2.186.193
,1962,2.174.013
,1961,2.188.540
,1960,2.202.241
,1959,2.207.984
,1958,2.226.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
