,,
,,
,Einwohnerzahl in Brandenburg bis 2022,
,Einwohnerzahl in Brandenburg von 1961 bis 2022,
,,
,2022,2.573.135
,2021,2.537.868
,2020,2.531.071
,2019,2.521.893
,2018,2.511.917
,2017,2.504.040
,2016,2.494.648
,2015,2.484.826
,2014,2.457.872
,2013,2.449.193
,2012,2.449.511
,2011,2.453.180
,2010,2.503.273
,2009,2.512
,2008,2.522
,2007,2.536
,2006,2.548
,2005,2.559.483
,2004,2.568
,2003,2.575
,2002,2.582
,2001,2.593
,2000,2.601.962
,1999,2.601
,1998,2.590
,1997,2.573
,1996,2.554
,1995,2.542.042
,1994,2.537
,1993,2.538
,1992,2.543
,1991,2.543
,1990,2.578.312
,1985,2.660.000
,1980,2.660.000
,1970,2.657.000
,1961,2.625.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
