,,
,,
,Einwohnerzahl in Bremen (Bundesland) bis 2022,
,Einwohnerzahl im Bundesland Bremen von 1960 bis 2022,
,,
,2022,684.864
,2021,676.463
,2020,680.130
,2019,681.202
,2018,682.986
,2017,681.032
,2016,678.753
,2015,671.489
,2014,661.888
,2013,657.391
,2012,654.774
,2011,652.182
,2010,660.706
,2009,661.716
,2008,661.866
,2007,663.082
,2006,663.979
,2005,663.467
,2004,663.213
,2003,663.129
,2002,662.098
,2001,659.651
,2000,660.225
,1999,663.065
,1998,667.965
,1997,673.883
,1996,677.770
,1995,679.757
,1994,680.029
,1993,683.096
,1992,685.845
,1991,683.684
,1990,681.665
,1989,673.684
,1988,661.992
,1987,658.891
,1986,654.170
,1985,659.898
,1984,665.615
,1983,676.933
,1982,685.388
,1981,691.366
,1980,693.846
,1979,695.115
,1978,698.277
,1977,703.169
,1976,709.972
,1975,716.805
,1974,723.959
,1973,728.843
,1972,734.330
,1971,739.094
,1970,735.452
,1969,755.977
,1968,754.193
,1967,751.785
,1966,749.649
,1965,742.461
,1964,732.621
,1963,724.839
,1962,718.332
,1961,712.151
,1960,704.287
,1959,691.636
,1958,677.533
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
