,,
,,
,Einwohnerzahl in Hamburg bis 2022,
,Einwohnerzahl in Hamburg von 1960 bis 2022,
,,
,2022,1.892.122
,2021,1.853.935
,2020,1.852.478
,2019,1.847.253
,2018,1.841.179
,2017,1.830.584
,2016,1.810.438
,2015,1.787.408
,2014,1.762.791
,2013,1.746.342
,2012,1.734.272
,2011,1.718.187
,2010,1.786.448
,2009,1.774.224
,2008,1.772.100
,2007,1.770.629
,2006,1.754.182
,2005,1.743.627
,2004,1.734.830
,2003,1.734.083
,2002,1.728.806
,2001,1.726.363
,2000,1.715.392
,1999,1.704.735
,1998,1.700.089
,1997,1.704.731
,1996,1.707.986
,1995,1.707.901
,1994,1.705.872
,1993,1.702.887
,1992,1.688.785
,1991,1.668.757
,1990,1.652.363
,1989,1.626.220
,1988,1.603.070
,1987,1.594.190
,1986,1.571.267
,1985,1.579.884
,1984,1.592.447
,1983,1.609.531
,1982,1.623.848
,1981,1.637.132
,1980,1.645.095
,1979,1.653.043
,1978,1.664.305
,1977,1.680.340
,1976,1.698.615
,1975,1.717.383
,1974,1.733.802
,1973,1.751.621
,1972,1.766.214
,1971,1.781.621
,1970,1.793.640
,1969,1.817.122
,1968,1.822.837
,1967,1.832.560
,1966,1.847.267
,1965,1.854.361
,1964,1.857.431
,1963,1.854.637
,1962,1.847.495
,1961,1.840.515
,1960,1.836.958
,1959,1.823.574
,1958,1.807.640
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
