,,
,,
,Einwohnerzahl in Hessen bis 2022,
,Einwohnerzahl in Hessen von 1960 bis 2022,
,,
,2022,6.391.360
,2021,6.295.017
,2020,6.293.154
,2019,6.288.080
,2018,6.265.809
,2017,6.243.262
,2016,6.213.088
,2015,6.176.172
,2014,6.093.888
,2013,6.045.425
,2012,6.016.481
,2011,5.993.771
,2010,6.067.021
,2009,6.061.951
,2008,6.064.953
,2007,6.072.555
,2006,6.075.359
,2005,6.092.354
,2004,6.097.765
,2003,6.089.428
,2002,6.091.618
,2001,6.077.826
,2000,6.068.129
,1999,6.051.966
,1998,6.035.137
,1997,6.031.705
,1996,6.027.284
,1995,6.009.913
,1994,5.980.693
,1993,5.967.305
,1992,5.922.639
,1991,5.837.330
,1990,5.763.310
,1989,5.660.619
,1988,5.568.892
,1987,5.524.637
,1986,5.543.657
,1985,5.529.413
,1984,5.535.185
,1983,5.564.964
,1982,5.599.799
,1981,5.611.851
,1980,5.601.031
,1979,5.576.085
,1978,5.553.508
,1977,5.540.585
,1976,5.538.432
,1975,5.549.823
,1974,5.576.081
,1973,5.583.822
,1972,5.532.965
,1971,5.489.728
,1970,5.424.529
,1969,5.422.567
,1968,5.333.200
,1967,5.262.729
,1966,5.239.723
,1965,5.170.449
,1964,5.086.611
,1963,5.004.893
,1962,4.936.942
,1961,4.861.250
,1960,4.783.352
,1959,4.702.808
,1958,4.651.483
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
