,,
,,
,Einwohnerzahl in Mecklenburg-Vorpommern bis 2022,
,Einwohnerzahl in Mecklenburg-Vorpommern von 1961 bis 2022,
,,
,2022,1.628.378
,2021,1.611.160
,2020,1.610.774
,2019,1.608.138
,2018,1.609.675
,2017,1.611.119
,2016,1.610.674
,2015,1.612.362
,2014,1.599.138
,2013,1.596.505
,2012,1.600.327
,2011,1.606.899
,2010,1.642.327
,2009,1.651
,2008,1.664
,2007,1.680
,2006,1.694
,2005,1.707.266
,2004,1.720
,2003,1.732
,2002,1.745
,2001,1.760
,2000,1.775.703
,1999,1.789
,1998,1.799
,1997,1.808
,1996,1.817
,1995,1.823.084
,1994,1.832
,1993,1.843
,1992,1.865
,1991,1.892
,1990,1.923.959
,1985,1.959.000
,1980,1.944.000
,1970,1.928.000
,1961,1.923.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
