,,
,,
,Einwohnerzahl in Niedersachsen bis 2022,
,Einwohnerzahl in Niedersachsen von 1960 bis 2022,
,,
,2022,8.140.242
,2021,8.027.031
,2020,8.003.421
,2019,7.993.608
,2018,7.982.448
,2017,7.962.775
,2016,7.945.685
,2015,7.926.599
,2014,7.826.739
,2013,7.790.559
,2012,7.778.995
,2011,7.774.253
,2010,7.918.293
,2009,7.928.815
,2008,7.947.244
,2007,7.971.684
,2006,7.982.685
,2005,7.993.946
,2004,8.000.909
,2003,7.993.415
,2002,7.980.472
,2001,7.956.416
,2000,7.926.193
,1999,7.898.760
,1998,7.865.840
,1997,7.845.398
,1996,7.815.148
,1995,7.780.422
,1994,7.715.363
,1993,7.648.004
,1992,7.577.520
,1991,7.475.790
,1990,7.366.072
,1989,7.283.795
,1988,7.184.943
,1987,7.163.602
,1986,7.196.127
,1985,7.196.918
,1984,7.216.304
,1983,7.248.536
,1982,7.256.769
,1981,7.267.106
,1980,7.256.386
,1979,7.234.000
,1978,7.225.167
,1977,7.224.165
,1976,7.226.897
,1975,7.238.502
,1974,7.264.840
,1973,7.259.205
,1972,7.214.828
,1971,7.180.500
,1970,7.121.824
,1969,7.100.417
,1968,7.039.169
,1967,6.993.194
,1966,6.967.216
,1965,6.921.000
,1964,6.854.481
,1963,6.786.416
,1962,6.731.562
,1961,6.674.534
,1960,6.576.137
,1959,6.538.416
,1958,6.515.582
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
