,,
,,
,Einwohnerzahl in Nordrhein-Westfalen bis 2022,
,Einwohnerzahl in Nordrhein-Westfalen von 1960 bis 2022,
,,
,2022,18.139.116
,2021,17.924.591
,2020,17.925.570
,2019,17.947.221
,2018,17.932.651
,2017,17.912.134
,2016,17.890.100
,2015,17.865.516
,2014,17.638.098
,2013,17.571.856
,2012,17.554.329
,2011,17.544.938
,2010,17.845.154
,2009,17.872.763
,2008,17.933.064
,2007,17.996.621
,2006,18.028.745
,2005,18.058.105
,2004,18.075.352
,2003,18.079.686
,2002,18.076.355
,2001,18.052.092
,2000,18.009.865
,1999,17.999.800
,1998,17.975.516
,1997,17.974.487
,1996,17.947.715
,1995,17.893.045
,1994,17.816.079
,1993,17.759.300
,1992,17.679.166
,1991,17.509.866
,1990,17.319.651
,1989,17.103.588
,1988,16.874.059
,1987,16.743.956
,1986,16.676.501
,1985,16.674.051
,1984,16.703.875
,1983,16.836.519
,1982,16.961.183
,1981,17.045.993
,1980,17.058.193
,1979,17.017.075
,1978,17.006.354
,1977,17.030.341
,1976,17.073.192
,1975,17.129.615
,1974,17.217.780
,1973,17.245.530
,1972,17.192.897
,1971,17.137.752
,1970,17.004.851
,1969,17.129.764
,1968,16.950.515
,1967,16.842.619
,1966,16.835.480
,1965,16.735.736
,1964,16.554.312
,1963,16.361.108
,1962,16.194.670
,1961,16.028.919
,1960,15.852.476
,1959,15.653.613
,1958,15.459.265
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
