,,
,,
,Einwohnerzahl in Rheinland-Pfalz bis 2022,
,Einwohnerzahl in Rheinland-Pfalz von 1960 bis 2022,
,,
,2022,4.159.150
,2021,4.106.485
,2020,4.098.391
,2019,4.093.903
,2018,4.084.844
,2017,4.073.679
,2016,4.066.053
,2015,4.052.803
,2014,4.011.582
,2013,3.994.366
,2012,3.990.278
,2011,3.990.033
,2010,4.003.745
,2009,4.012.675
,2008,4.028.351
,2007,4.045.643
,2006,4.052.860
,2005,4.058.843
,2004,4.061.105
,2003,4.058.682
,2002,4.057.727
,2001,4.049.066
,2000,4.034.557
,1999,4.030.773
,1998,4.024.969
,1997,4.017.828
,1996,4.000.567
,1995,3.977.919
,1994,3.951.573
,1993,3.925.863
,1992,3.880.965
,1991,3.821.235
,1990,3.763.510
,1989,3.701.661
,1988,3.653.155
,1987,3.634.557
,1986,3.611.437
,1985,3.615.049
,1984,3.623.985
,1983,3.633.488
,1982,3.636.506
,1981,3.641.229
,1980,3.642.482
,1979,3.633.195
,1978,3.630.947
,1977,3.639.291
,1976,3.649.001
,1975,3.665.777
,1974,3.688.066
,1973,3.700.787
,1972,3.690.372
,1971,3.678.519
,1970,3.658.932
,1969,3.671.275
,1968,3.644.511
,1967,3.625.428
,1966,3.612.668
,1965,3.581.993
,1964,3.545.448
,1963,3.509.511
,1962,3.474.464
,1961,3.438.528
,1960,3.411.170
,1959,3.377.365
,1958,3.354.672
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
