,,
,,
,Einwohnerzahl im Saarland bis 2022,
,Einwohnerzahl im Saarland von 1960 bis 2022,
,,
,2022,992.666
,2021,982.348
,2020,983.991
,2019,986.887
,2018,990.509
,2017,994.187
,2016,996.651
,2015,995.597
,2014,989.035
,2013,990.718
,2012,994.287
,2011,997.855
,2010,1.017.567
,2009,1.022.585
,2008,1.030.324
,2007,1.036.598
,2006,1.043.167
,2005,1.050.293
,2004,1.056.417
,2003,1.061.376
,2002,1.064.988
,2001,1.066.470
,2000,1.068.703
,1999,1.071.501
,1998,1.074.223
,1997,1.080.790
,1996,1.084.184
,1995,1.084.370
,1994,1.084.201
,1993,1.084.522
,1992,1.084.007
,1991,1.076.879
,1990,1.072.963
,1989,1.064.906
,1988,1.054.142
,1987,1.054.064
,1986,1.042.135
,1985,1.045.936
,1984,1.050.837
,1983,1.052.794
,1982,1.057.543
,1981,1.063.033
,1980,1.066.299
,1979,1.068.555
,1978,1.072.953
,1977,1.081.074
,1976,1.088.961
,1975,1.096.333
,1974,1.103.255
,1973,1.111.878
,1972,1.118.569
,1971,1.121.990
,1970,1.121.300
,1969,1.127.352
,1968,1.128.902
,1967,1.131.301
,1966,1.132.127
,1965,1.127.354
,1964,1.117.222
,1963,1.106.157
,1962,1.096.584
,1961,1.083.012
,1960,1.060.493
,1959,1.040.108
,1958,1.040.146
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
