,,
,,
,Einwohnerzahl in Sachsen bis 2022,
,Einwohnerzahl in Sachsen von 1961 bis 2022,
,,
,2022,4.086.152
,2021,4.043.002
,2020,4.056.941
,2019,4.071.971
,2018,4.077.937
,2017,4.081.308
,2016,4.081.783
,2015,4.084.851
,2014,4.055.274
,2013,4.046.385
,2012,4.050.204
,2011,4.054.182
,2010,4.149.477
,2009,4.169
,2008,4.193
,2007,4.220
,2006,4.250
,2005,4.273.754
,2004,4.296
,2003,4.321
,2002,4.349
,2001,4.384
,2000,4.425.581
,1999,4.460
,1998,4.489
,1997,4.522
,1996,4.546
,1995,4.566.603
,1994,4.584
,1993,4.608
,1992,4.641
,1991,4.679
,1990,4.764.301
,1985,5.064.000
,1980,5.174.000
,1970,5.419.000
,1961,5.450.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
