,,
,,
,Einwohnerzahl in Sachsen-Anhalt bis 2022,
,Einwohnerzahl in Sachsen-Anhalt von 1961 bis 2022,
,,
,2022,2.186.643
,2021,2.169.253
,2020,2.180.684
,2019,2.194.782
,2018,2.208.321
,2017,2.223.081
,2016,2.236.252
,2015,2.245.470
,2014,2.235.548
,2013,2.244.577
,2012,2.259.393
,2011,2.276.736
,2010,2.335.006
,2009,2.356
,2008,2.382
,2007,2.412
,2006,2.442
,2005,2.469.716
,2004,2.494
,2003,2.523
,2002,2.549
,2001,2.581
,2000,2.615.375
,1999,2.649
,1998,2.674
,1997,2.702
,1996,2.724
,1995,2.738.928
,1994,2.759
,1993,2.778
,1992,2.797
,1991,2.823
,1990,2.873.957
,1985,3.021.000
,1980,3.078.000
,1970,3.218.000
,1961,3.300.000
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
