,,
,,
,Einwohnerzahl in Schleswig-Holstein bis 2022,
,Einwohnerzahl in Schleswig-Holstein von 1960 bis 2022,
,,
,2022,2.953.270
,2021,2.922.005
,2020,2.910.875
,2019,2.903.773
,2018,2.896.712
,2017,2.889.821
,2016,2.881.926
,2015,2.858.714
,2014,2.830.864
,2013,2.815.955
,2012,2.806.531
,2011,2.802.266
,2010,2.834.259
,2009,2.832.027
,2008,2.834.260
,2007,2.837.373
,2006,2.834.254
,2005,2.832.950
,2004,2.828.760
,2003,2.823.171
,2002,2.816.507
,2001,2.804.249
,2000,2.789.761
,1999,2.777.275
,1998,2.766.057
,1997,2.756.473
,1996,2.742.293
,1995,2.725.461
,1994,2.708.392
,1993,2.694.875
,1992,2.679.575
,1991,2.648.532
,1990,2.626.127
,1989,2.594.606
,1988,2.564.565
,1987,2.555.278
,1986,2.612.672
,1985,2.614.151
,1984,2.613.796
,1983,2.616.598
,1982,2.618.156
,1981,2.619.186
,1980,2.611.285
,1979,2.599.004
,1978,2.591.285
,1977,2.587.183
,1976,2.582.718
,1975,2.582.412
,1974,2.584.343
,1973,2.579.598
,1972,2.563.775
,1971,2.543.236
,1970,2.510.608
,1969,2.557.245
,1968,2.528.733
,1967,2.499.730
,1966,2.472.526
,1965,2.438.829
,1964,2.405.547
,1963,2.375.783
,1962,2.351.315
,1961,2.329.247
,1960,2.309.409
,1959,2.289.894
,1958,2.275.802
,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",
