,Jahr,EW_per_sqkm,Bundesland
0,1995,2262,Hamburg
1,1996,2262,Hamburg
2,1997,2257,Hamburg
3,1998,2251,Hamburg
4,1999,2257,Hamburg
5,2000,2271,Hamburg
6,2001,2286,Hamburg
7,2002,2289,Hamburg
8,2003,2296,Hamburg
9,2004,2297,Hamburg
10,2005,2309,Hamburg
11,2006,2323,Hamburg
12,2007,2344,Hamburg
13,2008,2347,Hamburg
14,2009,2349,Hamburg
15,2010,2366,Hamburg
16,2011,2275,Hamburg
17,2012,2296,Hamburg
18,2013,2312,Hamburg
19,2014,2334,Hamburg
20,2015,2366,Hamburg
21,2016,2397,Hamburg
22,2017,2424,Hamburg
23,2018,2438,Hamburg
24,2019,2446,Hamburg
25,2020,2453,Hamburg
26,2021,2455,Hamburg
27,2022,2506,Hamburg
28,1995,155,Thueringen
29,1996,154,Thueringen
30,1997,153,Thueringen
31,1998,152,Thueringen
32,1999,151,Thueringen
33,2000,150,Thueringen
34,2001,149,Thueringen
35,2002,148,Thueringen
36,2003,147,Thueringen
37,2004,146,Thueringen
38,2005,144,Thueringen
39,2006,143,Thueringen
40,2007,142,Thueringen
41,2008,140,Thueringen
42,2009,139,Thueringen
43,2010,138,Thueringen
44,2011,135,Thueringen
45,2012,134,Thueringen
46,2013,134,Thueringen
47,2014,133,Thueringen
48,2015,134,Thueringen
49,2016,133,Thueringen
50,2017,133,Thueringen
51,2018,132,Thueringen
52,2019,132,Thueringen
53,2020,131,Thueringen
54,2021,130,Thueringen
55,2022,131,Thueringen
56,1995,248,Sachsen
57,1996,247,Sachsen
58,1997,246,Sachsen
59,1998,244,Sachsen
60,1999,242,Sachsen
61,2000,240,Sachsen
62,2001,238,Sachsen
63,2002,236,Sachsen
64,2003,235,Sachsen
65,2004,233,Sachsen
66,2005,232,Sachsen
67,2006,231,Sachsen
68,2007,229,Sachsen
69,2008,228,Sachsen
70,2009,226,Sachsen
71,2010,225,Sachsen
72,2011,220,Sachsen
73,2012,220,Sachsen
74,2013,220,Sachsen
75,2014,220,Sachsen
76,2015,221,Sachsen
77,2016,221,Sachsen
78,2017,221,Sachsen
79,2018,221,Sachsen
80,2019,221,Sachsen
81,2020,220,Sachsen
82,2021,219,Sachsen
83,2022,221,Sachsen
84,1991,229,Deutschland
85,1992,231,Deutschland
86,1993,232,Deutschland
87,1994,233,Deutschland
88,1995,234,Deutschland
89,1996,235,Deutschland
90,1997,235,Deutschland
91,1998,235,Deutschland
92,1999,235,Deutschland
93,2000,236,Deutschland
94,2001,236,Deutschland
95,2002,236,Deutschland
96,2003,237,Deutschland
97,2004,237,Deutschland
98,2005,236,Deutschland
99,2006,236,Deutschland
100,2007,236,Deutschland
101,2008,236,Deutschland
102,2009,235,Deutschland
103,2010,235,Deutschland
104,2011,230,Deutschland
105,2012,231,Deutschland
106,2013,231,Deutschland
107,2014,232,Deutschland
108,2015,234,Deutschland
109,2016,236,Deutschland
110,2017,237,Deutschland
111,2018,237,Deutschland
112,2019,233,Deutschland
113,2020,233,Deutschland
114,2021,233,Deutschland
115,2022,236,Deutschland
116,1995,134,Sachsen-Anhalt
117,1996,133,Sachsen-Anhalt
118,1997,132,Sachsen-Anhalt
119,1998,131,Sachsen-Anhalt
120,1999,130,Sachsen-Anhalt
121,2000,128,Sachsen-Anhalt
122,2001,126,Sachsen-Anhalt
123,2002,125,Sachsen-Anhalt
124,2003,123,Sachsen-Anhalt
125,2004,122,Sachsen-Anhalt
126,2005,121,Sachsen-Anhalt
127,2006,119,Sachsen-Anhalt
128,2007,118,Sachsen-Anhalt
129,2008,116,Sachsen-Anhalt
130,2009,115,Sachsen-Anhalt
131,2010,114,Sachsen-Anhalt
132,2011,111,Sachsen-Anhalt
133,2012,110,Sachsen-Anhalt
134,2013,110,Sachsen-Anhalt
135,2014,109,Sachsen-Anhalt
136,2015,110,Sachsen-Anhalt
137,2016,109,Sachsen-Anhalt
138,2017,109,Sachsen-Anhalt
139,2018,108,Sachsen-Anhalt
140,2019,107,Sachsen-Anhalt
141,2020,107,Sachsen-Anhalt
142,2021,106,Sachsen-Anhalt
143,2022,107,Sachsen-Anhalt
144,1995,422,Saarland
145,1996,422,Saarland
146,1997,421,Saarland
147,1998,418,Saarland
148,1999,417,Saarland
149,2000,416,Saarland
150,2001,415,Saarland
151,2002,415,Saarland
152,2003,413,Saarland
153,2004,411,Saarland
154,2005,409,Saarland
155,2006,406,Saarland
156,2007,404,Saarland
157,2008,401,Saarland
158,2009,398,Saarland
159,2010,396,Saarland
160,2011,388,Saarland
161,2012,387,Saarland
162,2013,386,Saarland
163,2014,385,Saarland
164,2015,388,Saarland
165,2016,388,Saarland
166,2017,387,Saarland
167,2018,385,Saarland
168,2019,384,Saarland
169,2020,383,Saarland
170,2021,382,Saarland
171,2022,386,Saarland
172,1995,170,Bayern
173,1996,171,Bayern
174,1997,171,Bayern
175,1998,171,Bayern
176,1999,172,Bayern
177,2000,173,Bayern
178,2001,175,Bayern
179,2002,176,Bayern
180,2003,176,Bayern
181,2004,176,Bayern
182,2005,177,Bayern
183,2006,177,Bayern
184,2007,177,Bayern
185,2008,177,Bayern
186,2009,177,Bayern
187,2010,178,Bayern
188,2011,176,Bayern
189,2012,177,Bayern
190,2013,179,Bayern
191,2014,180,Bayern
192,2015,182,Bayern
193,2016,183,Bayern
194,2017,184,Bayern
195,2018,185,Bayern
196,2019,186,Bayern
197,2020,186,Bayern
198,2021,187,Bayern
199,2022,190,Bayern
200,1995,289,Baden-Wuerttemberg
201,1996,290,Baden-Wuerttemberg
202,1997,291,Baden-Wuerttemberg
203,1998,292,Baden-Wuerttemberg
204,1999,293,Baden-Wuerttemberg
205,2000,294,Baden-Wuerttemberg
206,2001,297,Baden-Wuerttemberg
207,2002,298,Baden-Wuerttemberg
208,2003,299,Baden-Wuerttemberg
209,2004,300,Baden-Wuerttemberg
210,2005,300,Baden-Wuerttemberg
211,2006,300,Baden-Wuerttemberg
212,2007,301,Baden-Wuerttemberg
213,2008,301,Baden-Wuerttemberg
214,2009,301,Baden-Wuerttemberg
215,2010,301,Baden-Wuerttemberg
216,2011,294,Baden-Wuerttemberg
217,2012,296,Baden-Wuerttemberg
218,2013,297,Baden-Wuerttemberg
219,2014,300,Baden-Wuerttemberg
220,2015,304,Baden-Wuerttemberg
221,2016,306,Baden-Wuerttemberg
222,2017,308,Baden-Wuerttemberg
223,2018,310,Baden-Wuerttemberg
224,2019,311,Baden-Wuerttemberg
225,2020,311,Baden-Wuerttemberg
226,2021,311,Baden-Wuerttemberg
227,2022,316,Baden-Wuerttemberg
228,1995,86,Brandenburg
229,1996,87,Brandenburg
230,1997,87,Brandenburg
231,1998,88,Brandenburg
232,1999,88,Brandenburg
233,2000,88,Brandenburg
234,2001,88,Brandenburg
235,2002,88,Brandenburg
236,2003,87,Brandenburg
237,2004,87,Brandenburg
238,2005,87,Brandenburg
239,2006,86,Brandenburg
240,2007,86,Brandenburg
241,2008,86,Brandenburg
242,2009,85,Brandenburg
243,2010,85,Brandenburg
244,2011,83,Brandenburg
245,2012,83,Brandenburg
246,2013,83,Brandenburg
247,2014,83,Brandenburg
248,2015,84,Brandenburg
249,2016,84,Brandenburg
250,2017,84,Brandenburg
