,,,
,,,
,Arbeitslosenquote in Niedersachsen bis 2022,,
,Arbeitslosenquote¹ in Niedersachsen von 2005 bis 2022,,
,,,
,1994,"9,60",in %
,1995,"9,80",in %
,1996,"10,90",in %
,1997,"11,60",in %
,1998,"11,10",in %
,1999,"10,30",in %
,2000,"9,30",in %
,2001,"9,10",in %
,2002,"9,20",in %
,2003,"9,60",in %
,2004,"9,60",in %
,2005,"11,60",in %
,2006,"10,50",in %
,2007,"8,80",in %
,2008,"7,60",in %
,2009,"7,70",in %
,2010,"7,50",in %
,2011,"6,90",in %
,2012,"6,60",in %
,2013,"6,60",in %
,2014,"6,50",in %
,2015,"6,10",in %
,2016,6,in %
,2017,"5,80",in %
,2018,"5,30",in %
,2019,5,in %
,2020,"5,80",in %
,2021,"5,50",in %
,2022,"5,30",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
