,,,
,,,
,Arbeitslosenquote in Hessen bis 2022,,
,Arbeitslosenquote¹ in Hessen von 2005 bis 2022,,
,,,
,1994,"7,30",in %
,1995,"7,60",in %
,1996,"8,30",in %
,1997,"9,30",in %
,1998,9,in %
,1999,"8,30",in %
,2000,"7,30",in %
,2001,"6,60",in %
,2002,7,in %
,2003,"7,90",in %
,2004,"8,20",in %
,2005,"9,70",in %
,2006,"9,20",in %
,2007,"7,50",in %
,2008,"6,50",in %
,2009,"6,80",in %
,2010,"6,40",in %
,2011,"5,90",in %
,2012,"5,70",in %
,2013,"5,80",in %
,2014,"5,70",in %
,2015,"5,50",in %
,2016,"5,30",in %
,2017,5,in %
,2018,"4,60",in %
,2019,"4,40",in %
,2020,"5,40",in %
,2021,"5,20",in %
,2022,"4,80",in %
,,,
,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,
